id,time,friends,followers
44970594,171116,9,7
58183272,139129,13,13
152574654,346578,12,12
106287398,134059,13,12
152928982,888523,12,12
37661080,282559,11,8
113653968,883916,14,14
152932384,133823,9,10
398507999,1358489,8,5
37396612,500535,13,13
152733092,359767,8,8
152565431,281455,10,6
65518927,120888,12,11
212625335,118065,7,8
812046670,2613901,7,6
58155660,170443,11,9
152912960,343698,12,12
127482673,451763,10,9
108074280,175932,10,10
252043380,90605,14,14
215757790,0,12,15
161188411,221288,10,11
73127367,421418,11,11
51642964,93635,10,7
137853982,104364,8,8
655245622,589058,9,8
58181107,595427,12,11
44757760,346959,14,14
732040771,646387,12,12
57649105,205086,13,13
19618950,209785,12,9
54221090,199404,13,11
167809848,463343,9,9
142768167,100578,13,13
57646460,595030,15,15
833315855,95437,7,11
298857546,132424,8,8
298848686,98536,10,10
67348740,94623,13,12
690427255,100251,6,3
149550914,91057,9,7
152844309,506232,8,6
677465237,191729,10,9
14923280,91033,11,10
364086768,212416,8,9
582377052,112745,8,6
129987775,306905,6,10
222114287,152873,7,7
86119983,133009,8,6
54295881,222752,12,12
498042295,112296,8,6
401160190,266736,11,10
357456197,150498,7,6
31272527,99853,10,8
152934731,345502,14,14
307718929,343509,7,7
130007536,304963,10,10
244101635,166172,10,8
152892001,541181,11,11
833958263,256717,6,3
152571972,122218,8,5
152797076,724117,12,11
580900039,93566,9,7
152934159,238337,12,11
501179831,155391,8,10
132653638,1117014,6,6
57650552,205067,15,15
152810800,372646,11,9
19996367,418401,11,7
152914271,779735,12,11
152800655,10011972,12,12
83215604,346679,13,12
29149856,347923,13,12
152593449,596964,13,13
152898948,97088,10,9
836516760,679986,6,4
152934391,103358,10,8
29285881,103577,12,11
139924600,92785,11,11
6396810,175997,10,12
72475360,139099,11,12
152891835,101486,9,11
122856708,205129,15,15
35626679,176244,13,14
833332313,536452,6,7
152733790,224153,12,11
152473907,118415,9,7
604138533,149085,9,9
152619406,268383,10,8
122708287,155783,9,6
24693484,109582,10,8
37561051,93957,10,9
