id,time,friends,followers
83282532,132724,13,10
10955645,84570,12,15
138861655,90987,9,9
138004961,88772,8,9
127262010,93055,11,13
154794173,87294,13,10
111260147,112750,10,8
36467445,0,11,15
60282429,140955,10,8
137855505,168840,11,10
61464632,168786,13,12
836613546,82788,0,0
127260048,86240,9,14
5075690,86064,13,14
61488905,72571,11,12
154897723,111592,10,12
69546928,86275,10,10
292841805,95070,8,8
10282179,59124,14,17
49253648,135750,8,10
107721541,69797,9,10
156031023,87296,8,9
23855657,86032,12,12
7430878,86302,11,12
38891953,56653,10,7
15792108,53563,13,12
799406371,109953,7,5
2371321,107698,10,8
8738595,180791,12,12
132340151,112068,11,12
60932534,51061,11,15
